family,sample_idx,deletion_auc,insertion_auc
densenet121,22088,0.9746470465834136,0.967395681382186
densenet121,1258,0.8459436610573903,0.9475673998131242
densenet121,3882,0.027477748712756694,0.031163055246871955
densenet121,26021,0.24453227995634563,0.2107702594939927
densenet121,28706,0.9707736496529833,0.6659671438856094
densenet121,12774,0.9459182699356461,0.9675753879892
densenet121,20577,0.9665704636317969,0.9689347502026067
densenet121,20069,0.9751551943554659,0.9730118661136657
densenet121,22989,0.9738424701863551,0.937759326032392
densenet121,19017,0.9759034859016538,0.9195424830722914
densenet121,31697,0.8614173299587264,0.9233077411081467
densenet121,23363,0.9693471651917207,0.9008703455001523
densenet121,18777,0.973586399180931,0.9717443728768558
densenet121,11832,0.19790803026649612,0.6386556499955987
densenet121,28618,0.9086719662627729,0.8945752800682385
densenet121,22858,0.9730284915203811,0.967184145545616
densenet121,511,0.9394614625089162,0.8377112289490469
densenet121,29736,0.9722672476418666,0.9631148518710688
densenet121,33474,0.9349851138213126,0.9721631133761548
densenet121,25573,0.1977706728179751,0.23088669016315239
densenet121,4312,0.4408408656485039,0.5056588378323548
densenet121,24225,0.3355770291051753,0.34187615542965333
densenet121,5114,0.26610634841515146,0.5136417076982484
densenet121,107,0.2682325779587615,0.3391758499881803
densenet121,10443,0.07728048744093531,0.15475788227451803
densenet121,5117,0.4119046820211945,0.4503201590574917
densenet121,27764,0.20795614191024672,0.3485015099054909
densenet121,31588,0.18068549521494875,0.18671085053925907
densenet121,5131,0.45773342827975916,0.37982921964842
densenet121,1761,0.4163896206620207,0.19786790168913537
densenet121,34288,0.3604027597071301,0.6337780282314638
densenet121,26309,0.3044537697795502,0.1453029384396165
densenet121,21752,0.254443304997237,0.21725881639548583
densenet121,20801,0.41879004880135606,0.2562583187525825
densenet121,17666,0.15336542654803717,0.062372774896817085
densenet121,16706,0.5775730668741793,0.3472274463404361
densenet121,6553,0.35084047639418325,0.31075794509337906
densenet121,18583,0.6294916638294077,0.4174870282311774
densenet121,20787,0.2096834349744493,0.17553403503780146
densenet121,33870,0.060146682089677786,0.1061680434958634
densenet121,19563,0.58292897668408,0.6336404193064187
densenet121,2399,0.8002648741986926,0.7455481940465418
densenet121,4407,0.3842754159725945,0.3531463494929791
densenet121,2272,0.7546840092879548,0.7122114415284428
densenet121,2489,0.5377005638805736,0.5978698804985206
densenet121,1496,0.6955218242460455,0.7868239401828461
densenet121,2232,0.6288871890711603,0.61506162045814
densenet121,2415,0.5730082582896882,0.6914534638988326
densenet121,2382,0.6904436888374273,0.6962136050496082
